House_Pricing_Data,,,,,,
SqFt,Bedrooms,Bathrooms,Age_Years,Lot_Size_Acres,Garage_Spaces,Price
1660.0,4.0,1.0,5.0,1.37,3.0,471000.0
4572.0,3.0,1.0,57.0,0.43,3.0,791000.0
3892.0,1.0,4.0,43.0,0.47,3.0,717000.0
1266.0,3.0,3.0,44.0,0.18,3.0,292000.0
4244.0,1.0,2.0,31.0,0.42,3.0,773000.0
3971.0,5.0,2.0,44.0,0.63,0.0,726000.0
3719.0,2.0,1.0,60.0,0.44,3.0,640000.0
930.0,2.0,3.0,46.0,0.27,0.0,250000.0
2485.0,2.0,2.0,20.0,0.33,3.0,488000.0
1569.0,3.0,3.0,79.0,0.98,2.0,325000.0
3191.0,5.0,3.0,84.0,0.49,1.0,559000.0
3233.0,1.0,1.0,74.0,0.79,0.0,548000.0
1984.0,4.0,2.0,35.0,1.06,3.0,446000.0
4185.0,1.0,4.0,98.0,1.41,2.0,779000.0
4917.0,4.0,1.0,18.0,0.17,1.0,810000.0
3704.0,1.0,2.0,19.0,1.62,0.0,733000.0
1274.0,5.0,2.0,56.0,1.29,1.0,360000.0
1882.0,4.0,2.0,17.0,0.26,2.0,431000.0
3358.0,3.0,2.0,46.0,1.76,0.0,639000.0
2847.0,1.0,2.0,48.0,1.85,1.0,570000.0
3547.0,1.0,3.0,13.0,0.22,3.0,661000.0
1775.0,4.0,1.0,14.0,0.63,0.0,428000.0
2606.0,3.0,3.0,30.0,1.63,1.0,572000.0
989.0,3.0,4.0,0.0,1.52,2.0,372000.0
3534.0,5.0,2.0,53.0,0.45,2.0,666000.0
3805.0,3.0,1.0,2.0,0.5,0.0,693000.0
2699.0,3.0,2.0,15.0,0.8,1.0,560000.0
2067.0,3.0,1.0,86.0,1.02,0.0,344000.0
2328.0,2.0,3.0,56.0,1.27,0.0,431000.0
4002.0,5.0,1.0,74.0,0.8,1.0,739000.0
4356.0,1.0,4.0,11.0,0.98,1.0,805000.0
4690.0,4.0,4.0,73.0,1.52,3.0,887000.0
1446.0,1.0,1.0,95.0,0.17,1.0,235000.0
3688.0,5.0,1.0,15.0,0.58,2.0,732000.0
3235.0,4.0,1.0,71.0,1.46,0.0,593000.0
1400.0,5.0,1.0,75.0,1.8,0.0,338000.0
3163.0,3.0,4.0,23.0,1.07,2.0,663000.0
2861.0,4.0,2.0,27.0,1.11,1.0,569000.0
1041.0,3.0,1.0,7.0,0.3,2.0,302000.0
2841.0,1.0,1.0,91.0,0.95,2.0,448000.0
3624.0,1.0,4.0,35.0,1.11,3.0,727000.0
3412.0,4.0,4.0,89.0,0.56,2.0,649000.0
2163.0,4.0,3.0,7.0,0.61,0.0,490000.0
2278.0,5.0,1.0,57.0,0.82,2.0,512000.0
3356.0,5.0,3.0,59.0,0.14,0.0,658000.0
1575.0,3.0,4.0,49.0,0.71,0.0,386000.0
4814.0,4.0,4.0,27.0,0.5,0.0,824000.0
834.0,1.0,2.0,91.0,0.72,1.0,146000.0
3952.0,5.0,1.0,40.0,0.33,3.0,729000.0
2755.0,5.0,3.0,99.0,1.79,0.0,561000.0
2385.0,1.0,4.0,63.0,1.23,0.0,474000.0
4743.0,5.0,4.0,26.0,1.39,1.0,905000.0
3873.0,3.0,3.0,62.0,1.6,0.0,725000.0
1821.0,4.0,2.0,16.0,1.05,2.0,437000.0
4261.0,1.0,4.0,72.0,0.27,2.0,706000.0
3413.0,4.0,1.0,32.0,1.12,3.0,652000.0
4643.0,5.0,4.0,83.0,1.21,0.0,820000.0
2300.0,5.0,1.0,76.0,1.52,1.0,458000.0
961.0,1.0,3.0,91.0,0.92,2.0,203000.0
2781.0,3.0,1.0,28.0,0.34,1.0,552000.0
1795.0,2.0,3.0,12.0,0.64,1.0,384000.0
4142.0,1.0,1.0,45.0,0.79,2.0,782000.0
4598.0,2.0,3.0,34.0,1.33,1.0,850000.0
2075.0,2.0,1.0,5.0,1.18,2.0,473000.0
1816.0,3.0,2.0,81.0,0.78,1.0,344000.0
1137.0,2.0,1.0,68.0,1.97,2.0,326000.0
1678.0,2.0,1.0,46.0,1.25,0.0,341000.0
1876.0,3.0,2.0,24.0,0.55,3.0,438000.0
4793.0,2.0,4.0,65.0,0.29,2.0,887000.0
1179.0,2.0,4.0,9.0,0.39,2.0,327000.0
1292.0,2.0,1.0,55.0,0.57,3.0,327000.0
2862.0,1.0,2.0,29.0,0.41,2.0,514000.0
4684.0,1.0,1.0,4.0,0.45,2.0,816000.0
864.0,1.0,3.0,32.0,0.64,1.0,281000.0
3368.0,3.0,3.0,64.0,0.43,3.0,617000.0
2827.0,5.0,1.0,17.0,1.8,0.0,663000.0
3495.0,2.0,4.0,95.0,0.25,2.0,620000.0
2295.0,2.0,4.0,48.0,1.1,3.0,492000.0
1191.0,3.0,1.0,10.0,0.88,1.0,339000.0
4361.0,2.0,1.0,84.0,1.97,0.0,780000.0
3078.0,1.0,3.0,25.0,0.31,3.0,601000.0
3899.0,5.0,4.0,62.0,0.86,0.0,695000.0
1000.0,4.0,1.0,88.0,1.94,0.0,259000.0
3904.0,2.0,3.0,85.0,1.74,0.0,691000.0
3254.0,1.0,4.0,58.0,1.65,2.0,635000.0
4445.0,4.0,2.0,26.0,0.59,2.0,839000.0
1604.0,5.0,3.0,48.0,0.42,1.0,390000.0
3531.0,4.0,4.0,76.0,1.37,1.0,652000.0
3573.0,1.0,4.0,32.0,1.87,3.0,736000.0
2370.0,4.0,3.0,97.0,1.16,1.0,492000.0
3490.0,3.0,2.0,98.0,1.19,0.0,622000.0
4640.0,4.0,3.0,0.0,0.63,0.0,888000.0
1828.0,2.0,4.0,20.0,1.56,2.0,485000.0
1302.0,2.0,1.0,54.0,0.46,0.0,272000.0
1670.0,3.0,1.0,5.0,0.71,3.0,414000.0
1006.0,1.0,3.0,91.0,0.91,0.0,168000.0
2284.0,2.0,4.0,80.0,1.06,0.0,452000.0
1663.0,5.0,1.0,68.0,0.56,3.0,394000.0
3590.0,2.0,4.0,94.0,0.32,1.0,615000.0
1363.0,2.0,3.0,4.0,1.26,1.0,342000.0
4991.0,1.0,1.0,2.0,0.65,3.0,857000.0
2557.0,4.0,4.0,52.0,1.2,2.0,590000.0
2478.0,2.0,1.0,22.0,0.39,0.0,459000.0
4042.0,3.0,3.0,52.0,1.01,3.0,783000.0
1859.0,4.0,4.0,36.0,1.11,0.0,445000.0
2522.0,5.0,1.0,73.0,0.2,2.0,488000.0
4114.0,1.0,3.0,73.0,0.74,0.0,707000.0
3957.0,5.0,1.0,82.0,0.36,3.0,700000.0
3425.0,4.0,1.0,16.0,0.22,0.0,632000.0
3529.0,4.0,2.0,84.0,1.98,1.0,672000.0
2397.0,4.0,2.0,77.0,0.71,2.0,469000.0
3860.0,5.0,3.0,72.0,1.64,2.0,758000.0
3493.0,4.0,2.0,0.0,0.58,2.0,707000.0
4427.0,5.0,3.0,50.0,1.39,3.0,859000.0
2163.0,4.0,2.0,44.0,1.54,2.0,536000.0
2781.0,3.0,1.0,76.0,1.23,1.0,500000.0
2463.0,4.0,3.0,3.0,1.0,3.0,578000.0
2329.0,5.0,3.0,61.0,0.88,1.0,492000.0
2838.0,2.0,1.0,64.0,0.76,0.0,531000.0
4102.0,4.0,3.0,31.0,1.87,0.0,810000.0
3037.0,2.0,3.0,33.0,1.68,0.0,632000.0
2106.0,3.0,2.0,91.0,1.93,0.0,398000.0
4829.0,1.0,3.0,94.0,0.34,1.0,776000.0
3475.0,3.0,4.0,71.0,1.49,3.0,717000.0
2082.0,4.0,1.0,38.0,1.88,3.0,515000.0
1509.0,2.0,2.0,25.0,0.44,2.0,375000.0
4548.0,2.0,2.0,33.0,0.23,1.0,764000.0
1463.0,5.0,4.0,53.0,1.51,0.0,438000.0
2798.0,2.0,1.0,2.0,1.19,1.0,625000.0
4245.0,5.0,1.0,49.0,1.7,2.0,815000.0
4543.0,1.0,2.0,11.0,0.37,2.0,785000.0
2295.0,4.0,3.0,64.0,1.61,1.0,546000.0
4104.0,5.0,2.0,53.0,0.48,1.0,789000.0
4563.0,1.0,1.0,4.0,0.41,1.0,772000.0
2653.0,2.0,4.0,93.0,0.41,3.0,485000.0
2091.0,2.0,2.0,93.0,1.65,0.0,398000.0
4381.0,1.0,1.0,56.0,1.36,1.0,720000.0
4257.0,2.0,2.0,16.0,1.09,1.0,758000.0
2436.0,1.0,3.0,46.0,0.78,1.0,442000.0
4496.0,5.0,2.0,22.0,1.77,2.0,877000.0
3799.0,5.0,2.0,78.0,0.85,2.0,710000.0
3952.0,1.0,1.0,84.0,1.65,3.0,708000.0
1498.0,5.0,1.0,13.0,0.93,0.0,425000.0
2960.0,5.0,1.0,65.0,0.82,3.0,571000.0
4897.0,5.0,2.0,74.0,0.98,0.0,884000.0
1654.0,3.0,3.0,50.0,0.67,2.0,379000.0
4274.0,4.0,4.0,37.0,1.52,2.0,845000.0
2507.0,2.0,4.0,63.0,1.06,2.0,529000.0
3577.0,3.0,1.0,97.0,0.54,3.0,593000.0
2533.0,5.0,1.0,37.0,1.81,1.0,579000.0
4310.0,1.0,2.0,49.0,0.83,1.0,742000.0
1002.0,5.0,4.0,97.0,1.13,2.0,319000.0
4055.0,4.0,1.0,81.0,1.82,1.0,755000.0
1566.0,5.0,3.0,29.0,1.29,1.0,492000.0
3127.0,1.0,3.0,78.0,0.32,3.0,535000.0
3731.0,4.0,1.0,90.0,1.89,0.0,670000.0
997.0,5.0,1.0,50.0,1.29,2.0,305000.0
2730.0,4.0,4.0,62.0,0.74,2.0,550000.0
4382.0,2.0,4.0,97.0,0.36,3.0,734000.0
1408.0,2.0,2.0,51.0,1.61,3.0,401000.0
4072.0,5.0,4.0,37.0,1.28,1.0,845000.0
1947.0,4.0,3.0,96.0,1.11,2.0,409000.0
4197.0,1.0,3.0,87.0,1.8,0.0,706000.0
3311.0,5.0,1.0,78.0,1.6,3.0,681000.0
2594.0,2.0,4.0,29.0,0.39,0.0,488000.0
1459.0,2.0,2.0,50.0,0.69,0.0,322000.0
3611.0,5.0,3.0,80.0,0.57,2.0,685000.0
2169.0,4.0,3.0,4.0,1.51,2.0,509000.0
2786.0,2.0,2.0,28.0,0.16,3.0,577000.0
946.0,4.0,2.0,3.0,1.18,2.0,386000.0
4019.0,2.0,3.0,9.0,1.55,2.0,776000.0
3711.0,2.0,3.0,55.0,1.77,2.0,708000.0
2534.0,3.0,2.0,16.0,0.75,0.0,519000.0
2643.0,2.0,3.0,73.0,1.66,3.0,559000.0
1288.0,1.0,1.0,16.0,0.31,1.0,296000.0
3776.0,5.0,1.0,83.0,1.71,0.0,754000.0
2759.0,5.0,2.0,87.0,0.34,2.0,522000.0
3185.0,4.0,4.0,68.0,0.85,0.0,587000.0
3719.0,2.0,2.0,33.0,1.61,2.0,685000.0
2602.0,1.0,2.0,5.0,0.38,2.0,492000.0
4861.0,4.0,4.0,52.0,0.54,0.0,858000.0
4169.0,3.0,4.0,65.0,1.47,3.0,848000.0
1062.0,4.0,4.0,76.0,1.47,2.0,318000.0
1423.0,4.0,1.0,42.0,1.32,3.0,394000.0
1816.0,2.0,3.0,74.0,1.42,1.0,392000.0
4443.0,3.0,1.0,22.0,1.13,2.0,853000.0
2849.0,4.0,3.0,54.0,0.58,3.0,647000.0
4523.0,1.0,1.0,79.0,0.76,3.0,743000.0
3908.0,1.0,3.0,94.0,0.45,1.0,624000.0
4890.0,5.0,1.0,74.0,1.83,3.0,945000.0
2856.0,3.0,4.0,15.0,1.21,3.0,653000.0
3970.0,3.0,2.0,7.0,0.86,1.0,797000.0
2482.0,5.0,1.0,3.0,0.98,2.0,583000.0
3055.0,4.0,3.0,3.0,1.9,3.0,699000.0
1954.0,3.0,4.0,55.0,0.39,3.0,450000.0
3991.0,1.0,1.0,24.0,1.21,3.0,767000.0
2496.0,1.0,1.0,66.0,1.06,0.0,460000.0
4791.0,2.0,4.0,95.0,1.26,1.0,838000.0
2448.0,3.0,1.0,66.0,0.13,0.0,451000.0
2245.0,4.0,2.0,26.0,1.76,1.0,558000.0
